WORLD	Cases	New cases	Deaths	New deaths	% of deaths	Serious & Critical	Recovered	Links
Curaçao	7	1	1	0	14.29%	N/A	N/A	Source
Gabon	7	1	1	0	14.29%	N/A	N/A	Source
Benin	6	0	0	0	0.00%	N/A	N/A	Source
Eritrea	6	5	0	0	0.00%	N/A	0	Source
Guyana	5	0	1	0	20.00%	N/A	N/A	Source
Cape Verde	5	1	1	1	20.00%	N/A	N/A	Source
Zimbabwe	5	2	1	0	20.00%	0	0	Source
Syria	5	0	0	0	0.00%	0	0	Source
Fiji	5	0	0	0	0.00%	N/A	0	Source
Mozambique	5	4	0	0	0.00%	N/A	0	Source
Montserrat	5	3	0	0	0.00%	N/A	N/A	Source
Myanmar	5	2	0	0	0.00%	N/A	0	Source
Chad	5	1	0	0	0.00%	N/A	N/A	Source
Guinea	5	1	0	0	0.00%	N/A	1	Source
Central African Republic	5	1	0	0	0.00%	N/A	3	Source
Vatican City	4	0	0	0	0.00%	N/A	N/A	Source
Mali	4	2	0	0	0.00%	N/A	0	Source
The Gambia	4	1	1	0	25.00%	N/A	N/A	Source
Congo Republic	4	-2	0	0	0.00%	N/A	N/A	Source
Liberia	3	-1	0	0	0.00%	N/A	N/A	Source
Angola	3	0	0	0	0.00%	N/A	N/A	Source
Saint Lucia	3	0	0	0	0.00%	0	1	Source
Nepal	3	0	0	0	0.00%	N/A	1	Source
Sint Maarten	3	1	0	0	0.00%	N/A	0	Source
Mauritania	3	1	0	0	0.00%	0	0	Source
Sudan	3	1	1	0	33.33%	N/A	N/A	Source
Bhutan	3	1	0	0	0.00%	N/A	N/A	Source
Nicaragua	2	0	1	1	50.00%	0	0	Source
St. Kitts and Nevis	2	0	0	0	0.00%	N/A	0	Source
British Virgin Islands	2	0	0	0	0.00%	N/A	0	Source
Guinea-Bissau	2	0	0	0	0.00%	N/A	0	Source
Somalia	2	1	0	0	0.00%	N/A	N/A	Source
Turks and Caicos Islands	2	1	0	0	0.00%	N/A	0	Source
Belize	2	1	0	0	0.00%	N/A	0	Source
Timor-Leste	1	1	0	0	0.00%	N/A	N/A	Source
Libya	1	0	0	0	0.00%	N/A	0	Source
Papua New Guinea	1	0	0	0	0.00%	N/A	0	Source
Saint Vincent and the Grenadines	1	0	0	0	0.00%	N/A	N/A	Source
